GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.github.viise.zhurnal:zhurnal,com.github.viise.zhurnal.tml,TmlHttp,0,59,0,4,0,9,0,4,0,2
com.github.viise.zhurnal:zhurnal,com.github.viise.zhurnal.tml,TmlBasic,0,15,0,2,0,4,0,3,0,2
com.github.viise.zhurnal:zhurnal,com.github.viise.zhurnal.tml,TmlClass,0,41,0,4,0,8,0,5,0,3
com.github.viise.zhurnal:zhurnal,com.github.viise.zhurnal.tml,TmlDateTime,0,46,0,2,0,11,0,6,0,5
com.github.viise.zhurnal:zhurnal,com.github.viise.zhurnal.tml,TmlRoot,0,59,0,2,0,12,0,5,0,4
com.github.viise.zhurnal:zhurnal,com.github.viise.zhurnal.tml,TmlInfo,0,5,0,0,0,2,0,2,0,2
com.github.viise.zhurnal:zhurnal,com.github.viise.zhurnal.tml,TmlChild,0,33,0,0,0,5,0,2,0,2
com.github.viise.zhurnal:zhurnal,com.github.viise.zhurnal.tml,TmlThread,2,91,2,10,0,14,2,7,0,3
com.github.viise.zhurnal:zhurnal,com.github.viise.zhurnal.tml,TmlTrace,0,5,0,0,0,2,0,2,0,2
com.github.viise.zhurnal:zhurnal,com.github.viise.zhurnal.tml,TmlDuration,0,46,0,2,0,9,0,4,0,3
com.github.viise.zhurnal:zhurnal,com.github.viise.zhurnal.tml,TmlWarn,0,5,0,0,0,2,0,2,0,2
com.github.viise.zhurnal:zhurnal,com.github.viise.zhurnal.tml,TmlDebug,0,5,0,0,0,2,0,2,0,2
com.github.viise.zhurnal:zhurnal,com.github.viise.zhurnal.tml,TmlMsg,0,93,1,11,0,22,1,10,0,5
com.github.viise.zhurnal:zhurnal,com.github.viise.zhurnal.tml,TmlSql,0,57,0,0,0,9,0,3,0,3
com.github.viise.zhurnal:zhurnal,com.github.viise.zhurnal.tml,TmlError,0,5,0,0,0,2,0,2,0,2
com.github.viise.zhurnal:zhurnal,com.github.viise.zhurnal,HttpStatus,0,602,0,0,0,50,0,3,0,3
com.github.viise.zhurnal:zhurnal,com.github.viise.zhurnal,HttpMethod,0,94,0,0,0,10,0,1,0,1
com.github.viise.zhurnal:zhurnal,com.github.viise.zhurnal.lg,LgInfo,15,270,0,0,2,47,1,22,1,22
com.github.viise.zhurnal:zhurnal,com.github.viise.zhurnal.lg,LgTrace,15,270,0,0,2,47,1,22,1,22
com.github.viise.zhurnal:zhurnal,com.github.viise.zhurnal.lg,LgFile,6,44,0,0,2,9,0,2,0,2
com.github.viise.zhurnal:zhurnal,com.github.viise.zhurnal.lg,LgBasic,16,317,0,0,2,54,1,23,1,23
com.github.viise.zhurnal:zhurnal,com.github.viise.zhurnal.lg,LgError,15,270,0,0,2,47,1,22,1,22
com.github.viise.zhurnal:zhurnal,com.github.viise.zhurnal.lg,LgWarn,15,270,0,0,2,47,1,22,1,22
com.github.viise.zhurnal:zhurnal,com.github.viise.zhurnal.lg,LgConsole,0,14,0,0,0,5,0,2,0,2
com.github.viise.zhurnal:zhurnal,com.github.viise.zhurnal.lg,LgDebug,15,270,0,0,2,47,1,22,1,22
